family,event,bank_event,tokens,train_pos,test_pos,firing_rate,bank_train_pos,bank_test_pos,count_matches_bank,bank_log10_evidence_proxy,bank_label_z,bank_full_cov_z,bank_offdiag_cov_z,sae_best_feature,sae_best_auc,sae_best_abs_auc_excess,sae_best_train_effect,sae_best_test_effect,sae_best_pos_mean,sae_best_neg_mean,random_best_feature,random_best_auc,random_best_abs_auc_excess,random_best_train_effect,random_best_test_effect,sae_minus_random_abs_auc_excess,sae_beats_random,sae_best_decoder_cosine_to_label_direction,sae_max_abs_decoder_cosine_to_label_direction
lexical,capitalized,lexical:capitalized,10000,833,807,0.164,800.0,840.0,False,4.931762941922825,7.337844168697389,9.18898432616184,9.187506843963206,19981,0.5995351017258658,0.09953510172586577,0.47067636251449585,0.49653202295303345,0.3612177073955536,0.04808064550161362,16176,0.5738272408342103,0.07382724083421033,0.426767498254776,0.40939250588417053,0.025707860891655443,True,0.25132498145103455,0.4512447714805603
lexical,comma_or_period,lexical:comma_or_period,10000,436,467,0.0903,443.0,460.0,False,5.581271630469754,5.890672304275662,20.251343498198842,20.24631338080642,7734,0.8994794774083559,0.3994794774083559,1.689025640487671,1.7004330158233643,12.983573913574219,0.035292673856019974,11900,0.6371271631164466,0.13712716311644657,0.5708200931549072,0.6234197616577148,0.2623523142919093,True,0.8162060976028442,0.8162060976028442
lexical,common_and,lexical:common_and,10000,128,118,0.0246,133.0,113.0,False,4.43533802534303,11.338354045530968,1.6637190650706535,1.6658538950285058,7668,0.7711864406779662,0.27118644067796616,0.8190448880195618,0.9203270673751831,0.8715451955795288,0.0,7696,0.6593418229539159,0.15934182295391586,0.5497236251831055,0.6613456606864929,0.1118446177240503,True,0.765778124332428,0.765778124332428
lexical,common_in,lexical:common_in,10000,102,103,0.0205,101.0,104.0,False,4.362454919941184,10.872540764670667,2.806512368115114,2.8078964341737587,11377,0.834848361687659,0.33484836168765897,1.2798621654510498,1.1442968845367432,1.5066208839416504,0.00015837731189094484,22640,0.76137559948532,0.26137559948531996,0.7759392261505127,0.7277430295944214,0.073472762202339,True,0.7894680500030518,0.8371171951293945
lexical,common_of,lexical:common_of,10000,138,128,0.0266,125.0,141.0,False,4.352524915591755,10.181561147396843,3.546831346010575,3.5461051632592575,1161,0.7772298978858785,0.2772298978858785,1.1304935216903687,1.0311330556869507,1.0627059936523438,0.00011700910545187071,22640,0.6494317015599343,0.14943170155993435,0.41789621114730835,0.40827107429504395,0.12779819632594414,True,0.6577556729316711,0.6837316155433655
lexical,common_the,lexical:common_the,10000,283,286,0.0569,294.0,275.0,False,4.896950761586749,8.907289153044738,6.135280961234602,6.138585970839695,17789,0.8951048951048951,0.3951048951048951,1.615448236465454,1.6344691514968872,1.6778335571289062,0.0,12236,0.5854829832873957,0.08548298328739568,0.3265838921070099,0.3666854500770569,0.30962191181749943,True,0.7099993824958801,0.7775821685791016
lexical,common_to,lexical:common_to,10000,71,84,0.0155,79.0,76.0,False,3.693967444715801,11.294713906879265,1.9033445876438326,1.903848814448851,3917,0.6726190476190477,0.17261904761904767,0.46488654613494873,0.7860496044158936,0.5111607313156128,0.0,15651,0.6526223894765392,0.15262238947653917,0.7878663539886475,0.6429086327552795,0.019996658142508505,True,0.6141608953475952,0.7281971573829651
lexical,digit,lexical:digit,10000,189,150,0.0339,190.0,149.0,False,4.892273261734044,7.765306988447409,6.727390420634563,6.734255186176952,6989,0.6625085910652921,0.16250859106529214,0.49789974093437195,0.679970383644104,1.0523128509521484,0.1707906574010849,6944,0.7359312714776632,0.23593127147766324,0.8575729131698608,1.0568385124206543,-0.0734226804123711,False,0.12828294932842255,0.6387999057769775
lexical,hyphen_piece,lexical:hyphen_piece,10000,105,136,0.0241,117.0,124.0,False,5.034046338129511,8.200215794093092,8.426447652927438,8.426298684774409,4473,0.8565836336590558,0.35658363365905577,1.3429677486419678,1.4824053049087524,5.766236782073975,0.00019605536363087595,18608,0.8387583446207431,0.33875834462074306,1.3938277959823608,1.5501306056976318,0.01782528903831271,True,0.6861558556556702,0.7624625563621521
lexical,punct,lexical:punct,10000,746,806,0.1552,767.0,785.0,False,5.588809313288535,6.147405101511975,19.584576711645443,19.583152552746135,7734,0.7667493796526055,0.2667493796526055,1.0533019304275513,1.0603543519973755,7.721229553222656,0.0,1500,0.4155058449326759,0.0844941550673241,-0.42873328924179077,-0.46941515803337097,0.18225522458528137,True,0.7164156436920166,0.7164156436920166
lexical,quote,lexical:quote,10000,75,77,0.0152,75.0,77.0,True,4.310380480740764,11.747017421106305,2.0546370598578165,2.0568970893982743,20501,0.9610284089260324,0.46102840892603236,2.3229527473449707,1.98015558719635,5.342710018157959,0.0001217975586769171,17577,0.7786034806144495,0.2786034806144495,0.9743080735206604,0.9395797848701477,0.18242492831158286,True,0.7257631421089172,0.7468839883804321
linguistic,adj_suffix,linguistic:adj_suffix,10000,130,134,0.0264,140.0,124.0,False,3.4550898574918003,9.633601962474408,2.875674194695548,2.8763135644365563,19981,0.5664824766426806,0.06648247664268059,0.28909510374069214,0.2918868362903595,0.26366230845451355,0.09407605230808258,9734,0.6206214611283901,0.12062146112839012,0.3788435757160187,0.46106210350990295,-0.05413898448570953,False,0.09414508938789368,0.4791829586029053
linguistic,conjunction,linguistic:conjunction,10000,164,144,0.0308,164.0,144.0,True,4.403994623913075,11.216337213862294,1.8636043608886423,1.8655220094746299,7668,0.7222222222222222,0.2222222222222222,0.6983345746994019,0.8029753565788269,0.7141828536987305,0.0,7696,0.6469459317224968,0.14694593172249681,0.5002679824829102,0.6319345831871033,0.0752762904997254,True,0.7334738969802856,0.7394692897796631
linguistic,determiner,linguistic:determiner,10000,403,418,0.0821,420.0,401.0,False,4.860517988327525,8.98793171889617,5.519079083386011,5.522835615483257,17789,0.7703349282296651,0.2703349282296651,1.15164315700531,1.133837103843689,1.147991418838501,0.0,13612,0.5897815771721674,0.08978157717216739,0.2522164285182953,0.3557590842247009,0.1805533510574977,True,0.667343020439148,0.7335194945335388
linguistic,month_name,linguistic:month_name,10000,25,21,0.0046,nan,nan,False,nan,nan,nan,nan,21610,0.7379900343346818,0.2379900343346818,0.9258387088775635,1.151929497718811,2.368350028991699,0.00025429067318327725,6722,0.8435333161181725,0.3435333161181725,1.3553889989852905,1.5065412521362305,-0.1055432817834907,False,0.8158366084098816,0.8158366084098816
