seed_id,n_samples,predicted_f_dark,observed_floor,within_population_sd
0,500,0.8591311945816462,0.8543591985397642,0.019959679270442253
0,750,0.8078614767759008,0.8204549005142787,0.016534778370929117
0,1100,0.7923289231138673,0.7921038869187452,0.012879650196269538
0,1650,0.7544390544315143,0.7627587458910025,0.01483821397802374
0,2500,0.726295600370342,0.7296100438545547,0.01171893970602828
0,3800,0.709545199998524,0.697940570508821,0.00997761739844685
0,5700,0.6593394417521536,0.662228871051399,0.011270630974193434
0,8600,0.608233643067883,0.6086408311572635,0.012037512836868066
0,13000,0.5559017716838613,0.5479983571522224,0.013025902301284017
0,19500,0.49135055900147906,0.4909118532389744,0.011796128126532912
0,29200,0.44497339823171195,0.4337893060488399,0.008446611899638511
1,500,0.820620488308028,0.824541497139397,0.009081183141737456
1,750,0.820620488308028,0.815484443920159,0.009792119810183434
1,1100,0.820620488308028,0.8006208411362014,0.012423041002641095
1,1650,0.7673147128358554,0.7672608334878673,0.013313262004861949
1,2500,0.7464409436743688,0.736235182182474,0.012494693379949458
1,3800,0.6903867926008377,0.6974948951506789,0.01158446462307257
1,5700,0.6612363971465303,0.6571584823464066,0.01171832927186776
1,8600,0.6099280807573794,0.6143867518980047,0.011644407309131874
1,13000,0.567117135900898,0.5625624879013207,0.009592584614027596
1,19500,0.5092650811629704,0.5074451560494679,0.010391829940246134
1,29200,0.45335665354301175,0.4540616348341219,0.010479293859266943
2,500,0.7921491077511172,0.7983720100491436,0.0162249349828584
2,750,0.7752960037864608,0.7794785359088909,0.01316035828114393
2,1100,0.7622646577561342,0.7582922140172531,0.012850519241540263
2,1650,0.735901964654243,0.7307901136002996,0.014038027356246171
2,2500,0.7058876428444105,0.700336004554084,0.010006315030346095
2,3800,0.6730527594893889,0.6645932921837776,0.01208985847932217
2,5700,0.6172072763222157,0.6237610092862573,0.011474447320241785
2,8600,0.5883460728036635,0.5824817882776635,0.009998962067972572
2,13000,0.5502567880455683,0.5431272138598734,0.009586608364094949
2,19500,0.5013578433186215,0.49921694188842763,0.008961576250892184
2,29200,0.4358441962701817,0.43936336397267917,0.008963303877688976
3,500,0.813864714552696,0.8089196643723155,0.01323405018382204
3,750,0.7972071550079692,0.7880832029569743,0.014444148850207138
3,1100,0.7553114768440184,0.7641527777984616,0.013859780926158017
3,1650,0.7433636755525161,0.7407527785791936,0.011010165330107667
3,2500,0.7144432156641012,0.7148357756165422,0.010841085033837383
3,3800,0.6974674281087216,0.6840312764050646,0.013079483151213675
3,5700,0.6459253509825125,0.6429577266866179,0.013203621791090088
3,8600,0.5835907129114554,0.5950379976633323,0.013152878390252212
3,13000,0.5378334913132374,0.5415228644626671,0.010442376346451355
3,19500,0.5097357660255525,0.4934500281203956,0.009870956741197203
3,29200,0.43774524236308476,0.43565147842478524,0.009228958454552816
4,500,0.8187117831409414,0.8366427717860498,0.018142134887863603
4,750,0.8011318794215136,0.8061464935165017,0.016944755645456153
4,1100,0.7852985897041697,0.7811663378909802,0.014083255154426409
4,1650,0.7475928999214277,0.7495085075006477,0.014678334955081711
4,2500,0.70831793785679,0.7033510885738659,0.01423943436118737
4,3800,0.6593252127520893,0.6596485356414347,0.012644829957685193
4,5700,0.6103420057464197,0.6214758938156553,0.011159161071588111
4,8600,0.5834243481096444,0.5872056275694589,0.01092380546528758
4,13000,0.550613966337249,0.5433148246174557,0.009762411796707598
4,19500,0.48717153798916296,0.4887993874334793,0.010577715930323457
4,29200,0.4225094210166822,0.4251454856537249,0.010615869834610223
5,500,0.8457851586900054,0.8314005897253299,0.012514368040827322
5,750,0.8129306387440701,0.8061254182610222,0.013922638802068689
5,1100,0.7594544301460388,0.7756354453980979,0.01465258301810904
5,1650,0.73849118110868,0.7497797022367315,0.011894184686974897
5,2500,0.73849118110868,0.728155957144305,0.009642058739096878
5,3800,0.7062255248598244,0.6947013725617693,0.011578745333225579
5,5700,0.6623827802229698,0.6549925418060245,0.012329569086416537
5,8600,0.5983479199592543,0.6037155483058474,0.014163235691169694
5,13000,0.5443146828644101,0.544977140171991,0.009518530523420778
5,19500,0.48476409971048096,0.48622097338140335,0.010368787620430581
5,29200,0.4265156075457951,0.4275978393937982,0.00924427177535359
6,500,0.8970183103061787,0.8855681197053279,0.014403072571180548
6,750,0.8600897949762702,0.8586177260923528,0.016218168814230275
6,1100,0.8187353539322298,0.8223708469993845,0.01691102342631914
6,1650,0.7813560624903421,0.7823043599808763,0.01380860648481657
6,2500,0.7316949944486147,0.7404096587071968,0.01524270882058605
6,3800,0.6989674151553225,0.6986386083810625,0.012485855055459606
6,5700,0.6632635983656884,0.664447251545233,0.010753399004240407
6,8600,0.6333655285145529,0.6255634041800994,0.011515937127197205
6,13000,0.57584951255924,0.5732118266904522,0.01135459105410487
6,19500,0.5195585925906248,0.5169645584105501,0.010323448527225181
6,29200,0.44787494543467393,0.45469009131438776,0.010245913541388273
7,500,0.8528337424892304,0.8452615473619094,0.011945663801104596
7,750,0.8233646237110857,0.8205208056812026,0.01667523418931764
7,1100,0.7907986034900767,0.7895989835120613,0.01773338287762968
7,1650,0.7446779067714248,0.7397885296264407,0.016540860917857735
7,2500,0.6947001263866743,0.7050445527163,0.011151758997085566
7,3800,0.686832462119455,0.6729366786724122,0.010917671883163364
7,5700,0.6345167461546375,0.6284716722675481,0.012505550079267836
7,8600,0.5730455790859222,0.572017766238541,0.013251201279375534
7,13000,0.5253223964658881,0.515986465632962,0.011260021681126657
7,19500,0.45664988952130714,0.4629379705218941,0.00802613360409251
7,29200,0.42328670971487886,0.41717045244218304,0.00815023961563357
8,500,0.8860593331657696,0.8741682096627301,0.016290976465497427
8,750,0.8354508870010944,0.8484055618634965,0.015648048290910165
8,1100,0.8354508870010944,0.8163397236335973,0.014489681505497162
8,1650,0.7681890225510425,0.7751651871385652,0.017568465645479106
8,2500,0.7381419269439303,0.7312527222368216,0.012029170631206534
8,3800,0.6791461705479253,0.6899127574220213,0.012248636050385222
8,5700,0.6307577273887285,0.6466320058700241,0.011153258235010548
8,8600,0.5950307155025987,0.5996383403041186,0.010142678531755645
8,13000,0.5502612586060835,0.5536254110018127,0.009795220977197566
8,19500,0.49992758196639414,0.5062568129878355,0.009636619452077052
8,29200,0.4488169937135762,0.45318784300317844,0.008972449197151369
9,500,0.8166491147241008,0.8249960834058385,0.019962624240784564
9,750,0.8002040226788955,0.793482359588579,0.015037731643722853
9,1100,0.7669098629763115,0.7660022162172759,0.013038156547280747
9,1650,0.7433180950195482,0.7415981661196045,0.012040217397049678
9,2500,0.7219819332251517,0.7172014085118928,0.008365380263772692
9,3800,0.690661335928663,0.6878528659760322,0.009808588607257439
9,5700,0.6566524191280968,0.6478093900113326,0.011130293443758665
9,8600,0.5930496216020962,0.5909440818886911,0.012945510754986548
9,13000,0.5369589407218271,0.5410639552645721,0.009214961936057546
9,19500,0.4819132747550017,0.49168938841632076,0.00909761685536696
9,29200,0.44635482893929923,0.44087302049303967,0.008392732301418841
10,500,0.8433924694946963,0.8511075227990539,0.016215153207117094
10,750,0.8269147042637935,0.8177802256174148,0.017790812617314286
10,1100,0.7829234733899556,0.7821635700088716,0.015680952905483932
10,1650,0.7470974264189534,0.751310919134211,0.014075845525099016
10,2500,0.7167607401846662,0.7026467207444066,0.016657546033691944
10,3800,0.6492793070195174,0.647741256313252,0.011944110269971683
10,5700,0.5934331319275599,0.6055554216552533,0.010787153367329674
10,8600,0.5647586954937565,0.5712625242894743,0.010818206409196856
10,13000,0.5467992626444951,0.5370400358471544,0.009184217309108325
10,19500,0.49466848772514876,0.4860352848276105,0.009910180414929557
10,29200,0.4268662364750218,0.43223618321934565,0.009458598064375774
11,500,0.8179715757004139,0.8108952394623163,0.01629825490766527
11,750,0.7814709296223203,0.7861410787248332,0.010092826923261576
11,1100,0.7814709296223203,0.7718421625996117,0.011229447278958504
11,1650,0.7457525393177833,0.7524331699561315,0.01128302987662265
11,2500,0.7169023833011288,0.7195958102125257,0.013013916201826596
11,3800,0.6765390261739113,0.679171384413132,0.012681868780198845
11,5700,0.6286437620463269,0.632136045790326,0.012103529432497642
