seed_id,lambda,active_coordinates,c_i,n_samples,evidence,power
0,0.34,2,0.12500000000000006,419,0.6999059800000005,0.09428571428571429
0,0.34,2,0.12500000000000006,659,1.100806780000001,0.15142857142857144
0,0.34,2,0.12500000000000006,1018,1.7004875600000013,0.15714285714285714
0,0.34,2,0.12500000000000006,1556,2.599173520000002,0.15428571428571428
0,0.34,2,0.12500000000000006,2395,4.000655900000003,0.26
0,0.34,2,0.12500000000000006,3712,6.2005990400000055,0.38571428571428573
0,0.34,3,0.16666666666666663,314,0.6993491733333335,0.1
0,0.34,3,0.16666666666666663,494,1.1002499733333335,0.13714285714285715
0,0.34,3,0.16666666666666663,763,1.6993739466666669,0.10571428571428572
0,0.34,3,0.16666666666666663,1167,2.5991735200000003,0.24571428571428572
0,0.34,3,0.16666666666666663,1796,4.000099093333334,0.29714285714285715
0,0.34,3,0.16666666666666663,2784,6.200599040000001,0.5228571428571429
0,0.34,5,0.2,262,0.7002400640000003,0.12285714285714286
0,0.34,5,0.2,412,1.1011408640000004,0.14857142857142858
0,0.34,5,0.2,636,1.6998193920000007,0.14
0,0.34,5,0.2,973,2.6005098560000013,0.24571428571428572
0,0.34,5,0.2,1497,4.000989984000002,0.26571428571428574
0,0.34,5,0.2,2320,6.200599040000002,0.4257142857142857
0,0.34,8,0.21875,239,0.6986531650000003,0.07714285714285714
0,0.34,8,0.21875,376,1.0991363600000004,0.10857142857142857
0,0.34,8,0.21875,582,1.7013227700000007,0.10571428571428572
0,0.34,8,0.21875,889,2.598755915000001,0.2542857142857143
0,0.34,8,0.21875,1368,3.9989854800000013,0.2742857142857143
0,0.34,8,0.21875,2121,6.200181435000002,0.49714285714285716
0,0.4,2,0.12500000000000006,219,0.7008000000000004,0.11714285714285715
0,0.4,2,0.12500000000000006,344,1.1008000000000007,0.10571428571428572
0,0.4,2,0.12500000000000006,531,1.699200000000001,0.15142857142857144
0,0.4,2,0.12500000000000006,812,2.5984000000000016,0.16857142857142857
0,0.4,2,0.12500000000000006,1250,4.000000000000002,0.28
0,0.4,2,0.12500000000000006,1937,6.198400000000004,0.43142857142857144
0,0.4,3,0.16666666666666663,164,0.6997333333333333,0.06857142857142857
0,0.4,3,0.16666666666666663,258,1.1008,0.10285714285714286
0,0.4,3,0.16666666666666663,398,1.698133333333333,0.16857142857142857
0,0.4,3,0.16666666666666663,609,2.5984,0.19142857142857142
0,0.4,3,0.16666666666666663,938,4.002133333333333,0.2885714285714286
0,0.4,3,0.16666666666666663,1453,6.199466666666666,0.44857142857142857
0,0.4,5,0.2,137,0.7014400000000002,0.06
0,0.4,5,0.2,215,1.1008000000000002,0.1657142857142857
