seed_id,lambda,active_coordinates,geometry,power,predicted_coefficient
0,0.34,1,0.0,0.08,0.0
0,0.34,2,0.5000000000000002,0.43714285714285717,0.12500000000000006
0,0.34,3,0.6666666666666665,0.5971428571428572,0.16666666666666663
0,0.34,4,0.75,0.62,0.1875
0,0.34,5,0.8,0.6785714285714286,0.2
0,0.34,6,0.8333333333333333,0.7042857142857143,0.20833333333333331
0,0.34,7,0.8571428571428572,0.6771428571428572,0.2142857142857143
0,0.34,8,0.875,0.7642857142857142,0.21875
0,0.42,1,0.0,0.07285714285714286,0.0
0,0.42,2,0.5000000000000002,0.8514285714285714,0.12500000000000006
0,0.42,3,0.6666666666666665,0.9757142857142858,0.16666666666666663
0,0.42,4,0.75,0.9728571428571429,0.1875
0,0.42,5,0.8,0.9814285714285714,0.2
0,0.42,6,0.8333333333333333,0.9871428571428571,0.20833333333333331
0,0.42,7,0.8571428571428572,0.99,0.2142857142857143
0,0.42,8,0.875,0.9957142857142857,0.21875
0,0.5,1,0.0,0.06857142857142857,0.0
0,0.5,2,0.5000000000000002,0.9985714285714286,0.12500000000000006
0,0.5,3,0.6666666666666665,1.0,0.16666666666666663
0,0.5,4,0.75,1.0,0.1875
0,0.5,5,0.8,1.0,0.2
0,0.5,6,0.8333333333333333,1.0,0.20833333333333331
0,0.5,7,0.8571428571428572,1.0,0.2142857142857143
0,0.5,8,0.875,1.0,0.21875
1,0.34,1,0.0,0.05714285714285714,0.0
1,0.34,2,0.5000000000000002,0.4514285714285714,0.12500000000000006
1,0.34,3,0.6666666666666665,0.6257142857142857,0.16666666666666663
1,0.34,4,0.75,0.6542857142857142,0.1875
1,0.34,5,0.8,0.6857142857142857,0.2
1,0.34,6,0.8333333333333333,0.6971428571428572,0.20833333333333331
1,0.34,7,0.8571428571428572,0.7514285714285714,0.2142857142857143
1,0.34,8,0.875,0.7428571428571429,0.21875
1,0.42,1,0.0,0.06,0.0
1,0.42,2,0.5000000000000002,0.8428571428571429,0.12500000000000006
1,0.42,3,0.6666666666666665,0.9657142857142857,0.16666666666666663
1,0.42,4,0.75,0.9742857142857143,0.1875
1,0.42,5,0.8,0.9871428571428571,0.2
1,0.42,6,0.8333333333333333,0.9928571428571429,0.20833333333333331
1,0.42,7,0.8571428571428572,0.9857142857142858,0.2142857142857143
1,0.42,8,0.875,0.9957142857142857,0.21875
1,0.5,1,0.0,0.07571428571428572,0.0
1,0.5,2,0.5000000000000002,0.9985714285714286,0.12500000000000006
1,0.5,3,0.6666666666666665,1.0,0.16666666666666663
1,0.5,4,0.75,1.0,0.1875
1,0.5,5,0.8,1.0,0.2
1,0.5,6,0.8333333333333333,1.0,0.20833333333333331
1,0.5,7,0.8571428571428572,1.0,0.2142857142857143
1,0.5,8,0.875,1.0,0.21875
2,0.34,1,0.0,0.06857142857142857,0.0
2,0.34,2,0.5000000000000002,0.45285714285714285,0.12500000000000006
2,0.34,3,0.6666666666666665,0.5957142857142858,0.16666666666666663
2,0.34,4,0.75,0.6542857142857142,0.1875
2,0.34,5,0.8,0.6828571428571428,0.2
2,0.34,6,0.8333333333333333,0.7485714285714286,0.20833333333333331
2,0.34,7,0.8571428571428572,0.6971428571428572,0.2142857142857143
2,0.34,8,0.875,0.7114285714285714,0.21875
2,0.42,1,0.0,0.09285714285714286,0.0
2,0.42,2,0.5000000000000002,0.8985714285714286,0.12500000000000006
2,0.42,3,0.6666666666666665,0.9657142857142857,0.16666666666666663
2,0.42,4,0.75,0.9514285714285714,0.1875
2,0.42,5,0.8,0.9842857142857143,0.2
2,0.42,6,0.8333333333333333,0.9885714285714285,0.20833333333333331
2,0.42,7,0.8571428571428572,0.9942857142857143,0.2142857142857143
2,0.42,8,0.875,0.99,0.21875
2,0.5,1,0.0,0.07714285714285714,0.0
2,0.5,2,0.5000000000000002,0.9971428571428571,0.12500000000000006
2,0.5,3,0.6666666666666665,1.0,0.16666666666666663
2,0.5,4,0.75,1.0,0.1875
2,0.5,5,0.8,1.0,0.2
2,0.5,6,0.8333333333333333,1.0,0.20833333333333331
2,0.5,7,0.8571428571428572,1.0,0.2142857142857143
2,0.5,8,0.875,1.0,0.21875
3,0.34,1,0.0,0.06857142857142857,0.0
3,0.34,2,0.5000000000000002,0.4542857142857143,0.12500000000000006
3,0.34,3,0.6666666666666665,0.6228571428571429,0.16666666666666663
3,0.34,4,0.75,0.6871428571428572,0.1875
3,0.34,5,0.8,0.6457142857142857,0.2
3,0.34,6,0.8333333333333333,0.6828571428571428,0.20833333333333331
3,0.34,7,0.8571428571428572,0.7757142857142857,0.2142857142857143
3,0.34,8,0.875,0.7514285714285714,0.21875
3,0.42,1,0.0,0.07428571428571429,0.0
3,0.42,2,0.5000000000000002,0.8657142857142858,0.12500000000000006
3,0.42,3,0.6666666666666665,0.9657142857142857,0.16666666666666663
3,0.42,4,0.75,0.9685714285714285,0.1875
3,0.42,5,0.8,0.99,0.2
3,0.42,6,0.8333333333333333,0.9928571428571429,0.20833333333333331
3,0.42,7,0.8571428571428572,0.9914285714285714,0.2142857142857143
3,0.42,8,0.875,0.9914285714285714,0.21875
3,0.5,1,0.0,0.09285714285714286,0.0
3,0.5,2,0.5000000000000002,0.9985714285714286,0.12500000000000006
3,0.5,3,0.6666666666666665,1.0,0.16666666666666663
3,0.5,4,0.75,1.0,0.1875
3,0.5,5,0.8,1.0,0.2
3,0.5,6,0.8333333333333333,1.0,0.20833333333333331
3,0.5,7,0.8571428571428572,1.0,0.2142857142857143
3,0.5,8,0.875,1.0,0.21875
4,0.34,1,0.0,0.07428571428571429,0.0
4,0.34,2,0.5000000000000002,0.4685714285714286,0.12500000000000006
4,0.34,3,0.6666666666666665,0.6185714285714285,0.16666666666666663
4,0.34,4,0.75,0.6585714285714286,0.1875
4,0.34,5,0.8,0.7085714285714285,0.2
4,0.34,6,0.8333333333333333,0.7171428571428572,0.20833333333333331
4,0.34,7,0.8571428571428572,0.72,0.2142857142857143
4,0.34,8,0.875,0.7557142857142857,0.21875
4,0.42,1,0.0,0.07,0.0
4,0.42,2,0.5000000000000002,0.88,0.12500000000000006
4,0.42,3,0.6666666666666665,0.9442857142857143,0.16666666666666663
4,0.42,4,0.75,0.9814285714285714,0.1875
4,0.42,5,0.8,0.9871428571428571,0.2
4,0.42,6,0.8333333333333333,0.9942857142857143,0.20833333333333331
4,0.42,7,0.8571428571428572,0.9942857142857143,0.2142857142857143
4,0.42,8,0.875,0.9857142857142858,0.21875
4,0.5,1,0.0,0.07571428571428572,0.0
4,0.5,2,0.5000000000000002,0.9957142857142857,0.12500000000000006
4,0.5,3,0.6666666666666665,1.0,0.16666666666666663
4,0.5,4,0.75,1.0,0.1875
4,0.5,5,0.8,1.0,0.2
4,0.5,6,0.8333333333333333,1.0,0.20833333333333331
4,0.5,7,0.8571428571428572,1.0,0.2142857142857143
4,0.5,8,0.875,1.0,0.21875
5,0.34,1,0.0,0.05142857142857143,0.0
5,0.34,2,0.5000000000000002,0.48142857142857143,0.12500000000000006
5,0.34,3,0.6666666666666665,0.57,0.16666666666666663
5,0.34,4,0.75,0.6614285714285715,0.1875
5,0.34,5,0.8,0.68,0.2
5,0.34,6,0.8333333333333333,0.7085714285714285,0.20833333333333331
5,0.34,7,0.8571428571428572,0.74,0.2142857142857143
5,0.34,8,0.875,0.7471428571428571,0.21875
5,0.42,1,0.0,0.055714285714285716,0.0
5,0.42,2,0.5000000000000002,0.8685714285714285,0.12500000000000006
5,0.42,3,0.6666666666666665,0.9528571428571428,0.16666666666666663
5,0.42,4,0.75,0.9814285714285714,0.1875
5,0.42,5,0.8,0.9728571428571429,0.2
5,0.42,6,0.8333333333333333,0.9914285714285714,0.20833333333333331
5,0.42,7,0.8571428571428572,0.9957142857142857,0.2142857142857143
5,0.42,8,0.875,0.9928571428571429,0.21875
5,0.5,1,0.0,0.09571428571428571,0.0
