direction_label,rows,mean_geometry,mean_labeled_power,mean_unlabeled_power,sd_unlabeled_power,mean_evidence_proxy
axis,1,0.0,1.0,0.05,0.0,0.0
16-sparse,12,0.9375,1.0,0.4289583333333334,0.03899062832556334,1.0401132
2-sparse,12,0.5000000000000001,1.0,0.18958333333333333,0.016034901170744884,0.5547270400000002
32-sparse,12,0.96875,1.0,0.4595833333333333,0.05878840352389992,1.0747836399999997
4-sparse,12,0.75,1.0,0.32562499999999994,0.0445243964024219,0.8320905599999996
8-sparse,12,0.875,1.0,0.38291666666666674,0.061515862904529664,0.9707723199999997
PC-orth,12,0.9959383471444548,1.0,0.46979166666666666,0.04677582100354365,1.1049478626678715
dense,12,0.9961040042531825,1.0,0.4879166666666666,0.02950694362725869,1.10513165162303
