family,events,geometry_min,geometry_p10,geometry_p25,geometry_median,geometry_mean,geometry_p75,geometry_p90,geometry_max,near_axis_geometry_lt_0p9,near_axis_geometry_lt_0p99
lexical,11,0.9937763977795839,0.9953089179471135,0.9953489906620234,0.9955626241862774,0.9955328135666522,0.9959895219653845,0.9962214594706893,0.996346783824265,0,0
linguistic,10,0.9933287315070629,0.9945765412412584,0.9950197970028967,0.9956343916710466,0.9953624103218317,0.9959270410472527,0.9960441011935472,0.9960983279161155,0,0
ner,6,0.9950852990150452,0.995120917679742,0.9951973479473963,0.9954467157367617,0.995480496979629,0.9957884821342304,0.9958738575223833,0.9958876217715442,0,0
pos_tagger,13,0.9924988998100162,0.9935334893874824,0.9948510900139809,0.9952955585904419,0.9951161129149393,0.9958196738734841,0.9961813442409039,0.9964307830668986,0,0
semantic_cluster,7,0.9958237577229738,0.9958261588588357,0.9958678837865591,0.9961634869687259,0.9960947769161846,0.996268202085048,0.9963226795196534,0.9964040219783783,0,0
