feature,train_var,train_firing_rate,decoder_norm,decoder_geometry
1413,1.8133898973464966,0.0026666666381061077,1.000030911255015,0.9953380810453553
1964,0.3893556296825409,0.034166667610406876,1.000022829321275,0.9938214473578886
5354,4.845707893371582,0.019166667014360428,1.0000591761192865,0.9959018150201365
5893,0.05806366726756096,0.09833333641290665,1.0000120953414062,0.930668425261261
6146,0.4959495961666107,0.01066666655242443,1.0000245578069178,0.9949158804583118
6343,0.061953458935022354,0.0024999999441206455,1.000032530050671,0.9963856056875634
8310,0.1110326275229454,0.017500000074505806,1.0000010867263898,0.9351225499493848
8552,31.114459991455078,0.08166666328907013,1.0000547328520404,0.9953741081243215
8909,0.1043635755777359,0.0364999994635582,1.000024838029787,0.9196937976218398
8961,0.30164265632629395,0.01216666679829359,1.0000295064551936,0.8875862301438995
10605,0.4400166869163513,0.037166666239500046,1.0000423256601,0.9560863939470685
11885,0.8317312002182007,0.00983333308249712,1.0000195691529152,0.9962156129585769
12089,0.35129374265670776,0.08766666799783707,1.0001165643304593,0.9957113385524133
12528,0.15177354216575623,0.03200000151991844,1.0000344552070857,0.9948196213198919
13593,0.3359806537628174,0.04516666755080223,1.0000320016895585,0.9897660950974819
14668,0.10053276270627975,0.011666666716337204,1.0000683556069443,0.9951801220264033
15087,0.5530998706817627,0.21116666495800018,1.000001980894759,0.9454027387367883
15703,0.16749291121959686,0.008999999612569809,1.0000191375999092,0.9959542737468673
16954,0.13847926259040833,0.008666666224598885,1.0000753064707308,0.9955950542778337
17728,0.07748067378997803,0.07083333283662796,0.9999966317046448,0.9854461831464671
19488,0.05342234671115875,0.010833333246409893,1.000033373055197,0.9944936035939255
20019,0.07485006004571915,0.0035000001080334187,1.0000411733288932,0.9962374512798441
20889,0.33862966299057007,0.05016666650772095,1.0000222889410906,0.8844419438848847
22644,0.11328210681676865,0.014999999664723873,0.999997970286301,0.9886703423801357
23361,0.04753418266773224,0.022833332419395447,1.0000067274826252,0.9873765740700083
23529,0.03588668629527092,0.004999999888241291,1.0000367407882513,0.994708603751157
23637,0.1624944508075714,0.010833333246409893,0.9999949590556939,0.9944735241563806
