family,event,bank_event,tokens,train_pos,test_pos,firing_rate,bank_train_pos,bank_test_pos,count_matches_bank,bank_log10_evidence_proxy,bank_label_z,bank_full_cov_z,bank_offdiag_cov_z,sae_best_feature,sae_best_auc,sae_best_abs_auc_excess,sae_best_train_effect,sae_best_test_effect,sae_best_pos_mean,sae_best_neg_mean,random_best_feature,random_best_auc,random_best_abs_auc_excess,random_best_train_effect,random_best_test_effect,sae_minus_random_abs_auc_excess,sae_beats_random,sae_best_decoder_cosine_to_label_direction,sae_max_abs_decoder_cosine_to_label_direction
lexical,capitalized,lexical:capitalized,10000,833,807,0.164,800.0,840.0,False,4.931762941922825,7.337844168697389,9.18898432616184,9.187506843963206,12528,0.5798740805691672,0.07987408056916723,0.47478920221328735,0.4820158779621124,0.3161448538303375,0.010098086670041084,791,0.6044525734901889,0.10445257349018888,0.4228195548057556,0.3946516811847687,-0.024578492921021655,False,0.2939520478248596,0.4676048457622528
lexical,comma_or_period,lexical:comma_or_period,10000,436,467,0.0903,443.0,460.0,False,5.581271630469754,5.890672304275662,20.251343498198842,20.24631338080642,8552,0.8968364754115785,0.3968364754115785,1.703539490699768,1.7086679935455322,14.807389259338379,0.061044421046972275,7492,0.6369289970149903,0.13692899701499028,0.4859583079814911,0.4473430812358856,0.25990747839658823,True,0.7927852272987366,0.7927852272987366
lexical,common_and,lexical:common_and,10000,128,118,0.0246,133.0,113.0,False,4.43533802534303,11.338354045530968,1.6637190650706535,1.6658538950285058,19488,0.7201688666078782,0.22016886660787816,0.7223190069198608,0.8630267977714539,0.7318758964538574,0.0003024503239430487,18937,0.7883699372999395,0.28836993729993954,1.039710283279419,1.1194642782211304,-0.06820107069206138,False,0.6780365705490112,0.6780365705490112
lexical,common_in,lexical:common_in,10000,102,103,0.0205,101.0,104.0,False,4.362454919941184,10.872540764670667,2.806512368115114,2.8078964341737587,8961,0.8043095535011529,0.30430955350115285,1.0469876527786255,1.1861064434051514,2.74552845954895,0.005552852991968393,22890,0.6655878078712745,0.16558780787127447,0.448771208524704,0.4632653594017029,0.13872174562987838,True,0.7155209183692932,0.7787262797355652
lexical,common_of,lexical:common_of,10000,138,128,0.0266,125.0,141.0,False,4.352524915591755,10.181561147396843,3.546831346010575,3.5461051632592575,14668,0.7221944273399015,0.22219442733990147,1.0753897428512573,0.8582971692085266,0.9696254730224609,0.000674318231176585,19801,0.6937137597495895,0.1937137597495895,0.7837371230125427,0.7043983936309814,0.02848066759031198,True,0.6009016633033752,0.601557195186615
lexical,common_the,lexical:common_the,10000,283,286,0.0569,294.0,275.0,False,4.896950761586749,8.907289153044738,6.135280961234602,6.138585970839695,13593,0.9230175848758794,0.42301758487587937,1.854487419128418,1.8554209470748901,2.17643404006958,0.00011674236156977713,18937,0.6653036187401906,0.16530361874019062,0.5322393774986267,0.4728988707065582,0.25771396613568875,True,0.6707355976104736,0.7212293148040771
lexical,common_to,lexical:common_to,10000,71,84,0.0155,79.0,76.0,False,3.693967444715801,11.294713906879265,1.9033445876438326,1.903848814448851,17728,0.6388457030493239,0.13884570304932387,0.4478704035282135,0.4574492573738098,0.28648847341537476,0.06580528616905212,8411,0.5920621198031695,0.09206211980316947,0.39877942204475403,0.460877925157547,0.04678358324615439,True,0.08695758879184723,0.6524427533149719
lexical,digit,lexical:digit,10000,189,150,0.0339,190.0,149.0,False,4.892273261734044,7.765306988447409,6.727390420634563,6.734255186176952,11885,0.6693649484536083,0.16936494845360828,0.6171733736991882,0.7026230692863464,3.130396604537964,0.00228480389341712,9386,0.7307484536082475,0.23074845360824747,0.8927358984947205,0.8769485950469971,-0.061383505154639195,False,0.39425861835479736,0.6380818486213684
lexical,hyphen_piece,lexical:hyphen_piece,10000,105,136,0.0241,117.0,124.0,False,5.034046338129511,8.200215794093092,8.426447652927438,8.426298684774409,5354,0.8749743009868421,0.37497430098684215,1.7213367223739624,2.0222606658935547,11.244112014770508,2.3641085135750473e-05,21328,0.808371529121517,0.308371529121517,1.2623651027679443,1.3175700902938843,0.06660277186532515,True,0.6689054369926453,0.7118797302246094
lexical,punct,lexical:punct,10000,746,806,0.1552,767.0,785.0,False,5.588809313288535,6.147405101511975,19.584576711645443,19.583152552746135,8552,0.7703454420884851,0.2703454420884851,1.0702815055847168,1.0824705362319946,8.920432090759277,0.00045230629621073604,24370,0.4116377703702915,0.08836222962970852,-0.45672252774238586,-0.40654221177101135,0.18198321245877658,True,0.7083885073661804,0.7083885073661804
lexical,quote,lexical:quote,10000,75,77,0.0152,75.0,77.0,True,4.310380480740764,11.747017421106305,2.0546370598578165,2.0568970893982743,6146,0.8961038961038961,0.39610389610389607,1.7064244747161865,1.626194715499878,4.600286960601807,0.0,23740,0.8863919951671323,0.3863919951671323,1.18851637840271,1.3725082874298096,0.009711900936763773,True,0.6966478824615479,0.7133380770683289
linguistic,adj_suffix,linguistic:adj_suffix,10000,130,134,0.0264,140.0,124.0,False,3.4550898574918003,9.633601962474408,2.875674194695548,2.8763135644365563,23361,0.563810110974106,0.06381011097410605,0.2734054923057556,0.35811659693717957,0.16055798530578613,0.02550647407770157,11847,0.6104925434479882,0.1104925434479882,0.7010101675987244,0.574211835861206,-0.04668243247388215,False,0.1942831575870514,0.4706440567970276
