direction_label,rows,mean_geometry,mean_labeled_power,mean_unrestricted_cov_power,mean_feature_independent_power,sd_feature_independent_power
axis,1,0.0,1.0,0.445,0.05,0.0
16-sparse,12,0.9375,1.0,0.47625,0.4289583333333334,0.03899062832556334
2-sparse,12,0.5000000000000001,1.0,0.46645833333333325,0.18958333333333333,0.016034901170744884
32-sparse,12,0.96875,1.0,0.4760416666666667,0.4595833333333333,0.05878840352389992
4-sparse,12,0.75,1.0,0.49875,0.32562499999999994,0.0445243964024219
8-sparse,12,0.875,1.0,0.4679166666666667,0.38291666666666674,0.061515862904529664
PC-orth,12,0.9959383471444548,1.0,0.47083333333333344,0.46979166666666666,0.04677582100354365
dense,12,0.9961040042531825,1.0,0.4906249999999999,0.4879166666666666,0.02950694362725869
