layer,events_evaluated,tokens,median_abs_label_z,median_abs_full_cov_z,median_abs_offdiag_cov_z,frac_label_z_gt_5,frac_offdiag_z_gt_5,corr_log_evidence_abs_offdiag_z
4,13,10000,8.952511814677512,5.002104749295296,5.000758746113446,1.0,0.5384615384615384,0.8095644193272213
6,13,10000,8.677928494870189,6.166922506377433,6.170194219578676,1.0,0.5384615384615384,0.8005356648419695
8,13,10000,8.377982311150927,7.2289861331811,7.233475981229682,1.0,0.6923076923076923,0.8009308830455806
10,13,10000,8.138414625322039,6.567093282665956,6.5621514970726755,1.0,0.5384615384615384,0.7804684912423631
