pair_id,variant_id,objective_id,capacity_id,geometry,seed,train_seed,data_seed,validation_seed,target_cosine,recovered,certificate_pass,certificate_cosine_lower_bound,objective_loss
mse:d32-k4:dense:20261102,vanilla-random,mse,d32-k4,dense,20261102,2026920201,20261812011,20262012011,0.946842702206561,1,1,0.9080805921370204,0.11013282835483551
mse:d32-k4:dense:20261102,spectral-warm-start,mse,d32-k4,dense,20261102,2026920201,20261812011,20262012011,0.9287754124578657,1,1,0.8923696832469081,0.11390341818332672
mse_l1:d16-k2:axis:20261102,vanilla-random,mse_l1,d16-k2,axis,20261102,2026920210,20261812100,20262012100,0.9916245937347412,1,1,0.9554306541215909,0.4350765347480774
mse_l1:d16-k2:axis:20261102,spectral-warm-start,mse_l1,d16-k2,axis,20261102,2026920210,20261812100,20262012100,0.9956909418106079,1,1,0.9606695948552896,0.4264669418334961
mse_l1:d16-k2:dense:20261102,vanilla-random,mse_l1,d16-k2,dense,20261102,2026920210,20261812101,20262012101,0.8591513975781621,1,1,0.8214405162336196,0.440131813287735
mse_l1:d16-k2:dense:20261102,spectral-warm-start,mse_l1,d16-k2,dense,20261102,2026920210,20261812101,20262012101,0.9979552179935107,1,1,0.9630691803116331,0.4254636764526367
mse_l1:d32-k4:axis:20261102,vanilla-random,mse_l1,d32-k4,axis,20261102,2026920211,20261812110,20262012110,0.6535661816596985,0,0,0.5740864859694826,0.11333826929330826
mse_l1:d32-k4:axis:20261102,spectral-warm-start,mse_l1,d32-k4,axis,20261102,2026920211,20261812110,20262012110,0.9769435524940491,1,1,0.9368165134040928,0.10920210182666779
mse_l1:d32-k4:dense:20261102,vanilla-random,mse_l1,d32-k4,dense,20261102,2026920211,20261812111,20262012111,0.8449525378807928,1,0,0.7994251783569842,0.1123107373714447
mse_l1:d32-k4:dense:20261102,spectral-warm-start,mse_l1,d32-k4,dense,20261102,2026920211,20261812111,20262012111,0.9930458793219769,1,1,0.9594900593215281,0.11910850554704666
mse_l2:d16-k2:axis:20261102,vanilla-random,mse_l2,d16-k2,axis,20261102,2026920220,20261812200,20262012200,0.8353016972541809,1,0,0.796872053190125,0.4039066731929779
mse_l2:d16-k2:axis:20261102,spectral-warm-start,mse_l2,d16-k2,axis,20261102,2026920220,20261812200,20262012200,0.9944419264793396,1,1,0.9582550238955904,0.4210256040096283
mse_l2:d16-k2:dense:20261102,vanilla-random,mse_l2,d16-k2,dense,20261102,2026920220,20261812201,20262012201,0.9345167931392773,1,1,0.8931094289386233,0.42013707756996155
mse_l2:d16-k2:dense:20261102,spectral-warm-start,mse_l2,d16-k2,dense,20261102,2026920220,20261812201,20262012201,0.9905977690895095,1,1,0.9555543719928803,0.44961604475975037
mse_l2:d32-k4:axis:20261102,vanilla-random,mse_l2,d32-k4,axis,20261102,2026920221,20261812210,20262012210,0.7067066431045532,0,0,0.6599964410931198,0.10825232416391373
mse_l2:d32-k4:axis:20261102,spectral-warm-start,mse_l2,d32-k4,axis,20261102,2026920221,20261812210,20262012210,0.9491210579872131,1,1,0.9092089882906083,0.11826574057340622
mse_l2:d32-k4:dense:20261102,vanilla-random,mse_l2,d32-k4,dense,20261102,2026920221,20261812211,20262012211,0.8766187460360955,1,1,0.8397150336294935,0.10553217679262161
mse_l2:d32-k4:dense:20261102,spectral-warm-start,mse_l2,d32-k4,dense,20261102,2026920221,20261812211,20262012211,0.9821963743580299,1,1,0.9469131618706302,0.10314629971981049
mse:d16-k2:axis:20261103,vanilla-random,mse,d16-k2,axis,20261103,2026920300,20261813000,20262013000,0.9781545996665955,1,1,0.9419073447017656,0.39593571424484253
mse:d16-k2:axis:20261103,spectral-warm-start,mse,d16-k2,axis,20261103,2026920300,20261813000,20262013000,0.9944748282432556,1,1,0.9591984347349567,0.4188612103462219
mse:d16-k2:dense:20261103,vanilla-random,mse,d16-k2,dense,20261103,2026920300,20261813001,20262013001,0.9617602262571356,1,1,0.9251347301695303,0.4343542456626892
mse:d16-k2:dense:20261103,spectral-warm-start,mse,d16-k2,dense,20261103,2026920300,20261813001,20262013001,0.9825341497387081,1,1,0.9477941815442975,0.4166111946105957
mse:d32-k4:axis:20261103,vanilla-random,mse,d32-k4,axis,20261103,2026920301,20261813010,20262013010,0.7580732107162476,0,0,0.7133336180318158,0.10831708461046219
mse:d32-k4:axis:20261103,spectral-warm-start,mse,d32-k4,axis,20261103,2026920301,20261813010,20262013010,0.9911301136016846,1,1,0.9562514480808761,0.10527826845645905
mse:d32-k4:dense:20261103,vanilla-random,mse,d32-k4,dense,20261103,2026920301,20261813011,20262013011,0.7515421367293155,0,0,0.7042392465792859,0.11340917646884918
mse:d32-k4:dense:20261103,spectral-warm-start,mse,d32-k4,dense,20261103,2026920301,20261813011,20262013011,0.9774829974586474,1,1,0.9407506986182945,0.11167693138122559
mse_l1:d16-k2:axis:20261103,vanilla-random,mse_l1,d16-k2,axis,20261103,2026920310,20261813100,20262013100,0.9626317620277405,1,1,0.9288958992585108,0.41539835929870605
mse_l1:d16-k2:axis:20261103,spectral-warm-start,mse_l1,d16-k2,axis,20261103,2026920310,20261813100,20262013100,0.9933361411094666,1,1,0.9579205748176455,0.40547454357147217
mse_l1:d16-k2:dense:20261103,vanilla-random,mse_l1,d16-k2,dense,20261103,2026920310,20261813101,20262013101,0.965729305616884,1,1,0.9295747170874211,0.37471508979797363
mse_l1:d16-k2:dense:20261103,spectral-warm-start,mse_l1,d16-k2,dense,20261103,2026920310,20261813101,20262013101,0.9925787447265064,1,1,0.9574929342694125,0.37200841307640076
mse_l1:d32-k4:axis:20261103,vanilla-random,mse_l1,d32-k4,axis,20261103,2026920311,20261813110,20262013110,0.6800674200057983,0,0,0.6275443249568914,0.11071634292602539
mse_l1:d32-k4:axis:20261103,spectral-warm-start,mse_l1,d32-k4,axis,20261103,2026920311,20261813110,20262013110,0.9678217768669128,1,1,0.9319541196191019,0.10948872566223145
mse_l1:d32-k4:dense:20261103,vanilla-random,mse_l1,d32-k4,dense,20261103,2026920311,20261813111,20262013111,0.6407700463056712,0,0,0.5734116511930389,0.12105187028646469
mse_l1:d32-k4:dense:20261103,spectral-warm-start,mse_l1,d32-k4,dense,20261103,2026920311,20261813111,20262013111,0.9128026314193434,1,1,0.8733683538619504,0.11002390086650848
mse_l2:d16-k2:axis:20261103,vanilla-random,mse_l2,d16-k2,axis,20261103,2026920320,20261813200,20262013200,0.06043319031596184,0,0,0.0,0.42765453457832336
mse_l2:d16-k2:axis:20261103,spectral-warm-start,mse_l2,d16-k2,axis,20261103,2026920320,20261813200,20262013200,0.9928004145622253,1,1,0.956601167715937,0.3901180326938629
mse_l2:d16-k2:dense:20261103,vanilla-random,mse_l2,d16-k2,dense,20261103,2026920320,20261813201,20262013201,0.9304132271371978,1,1,0.8979185782048226,0.42876026034355164
mse_l2:d16-k2:dense:20261103,spectral-warm-start,mse_l2,d16-k2,dense,20261103,2026920320,20261813201,20262013201,0.9907929406082513,1,1,0.9556677045526214,0.4299817681312561
mse_l2:d32-k4:axis:20261103,vanilla-random,mse_l2,d32-k4,axis,20261103,2026920321,20261813210,20262013210,0.6444683074951172,0,0,0.5897615055583179,0.11913738399744034
mse_l2:d32-k4:axis:20261103,spectral-warm-start,mse_l2,d32-k4,axis,20261103,2026920321,20261813210,20262013210,0.9762183427810669,1,1,0.9390241255879839,0.12092039734125137
mse_l2:d32-k4:dense:20261103,vanilla-random,mse_l2,d32-k4,dense,20261103,2026920321,20261813211,20262013211,0.7179911165695217,0,0,0.6780424212337336,0.11179398745298386
mse_l2:d32-k4:dense:20261103,spectral-warm-start,mse_l2,d32-k4,dense,20261103,2026920321,20261813211,20262013211,0.9825311836542443,1,1,0.948320799302246,0.11544623225927353
mse:d16-k2:axis:20261104,vanilla-random,mse,d16-k2,axis,20261104,2026920400,20261814000,20262014000,0.38090649247169495,0,0,0.3046949742622015,0.4159613847732544
mse:d16-k2:axis:20261104,spectral-warm-start,mse,d16-k2,axis,20261104,2026920400,20261814000,20262014000,0.9972086548805237,1,1,0.9617733512833062,0.43596136569976807
mse:d16-k2:dense:20261104,vanilla-random,mse,d16-k2,dense,20261104,2026920400,20261814001,20262014001,0.9928192241073973,1,1,0.9585320908050052,0.4641933739185333
mse:d16-k2:dense:20261104,spectral-warm-start,mse,d16-k2,dense,20261104,2026920400,20261814001,20262014001,0.001244579314369453,0,0,0.0,0.45903778076171875
