direction,rows,mean_geometry,mean_labeled_power,mean_unlabeled_power,max_unlabeled_power
axis,147,4.000355602329364e-12,0.9433673469387756,0.05044217687074829,0.055
dense,147,0.9959366350614864,0.937142857142857,0.4777210884353741,1.0
ksparse,147,0.5771720204616342,0.9364965986394558,0.4300680272108844,1.0
pc1,147,0.9961263874942183,0.9420408163265307,0.32482993197278914,1.0
pc_orth,147,0.9961339953529306,0.9387414965986395,0.48316326530612247,1.0
