event,tokens,train_tokens,test_tokens,firing_rate,train_pos,test_pos,geometry,lambda_eff,evidence_proxy,log10_evidence_proxy,label_stat,label_z,full_cov_stat,full_cov_z,offdiag_cov_stat,offdiag_cov_z
semantic_cluster_00,10000,5000,5000,0.0166,76,90,0.9959080079570413,0.8513263043528727,653.9031769545028,2.815513447364994,6.663108825683594,8.415360851129202,6.552117347717285,2.4928049560138725,5.545008659362793,2.4931342547557764
semantic_cluster_01,10000,5000,5000,0.0237,114,123,0.9962679529562593,1.3725735607987137,4420.065343201601,3.645428689707038,9.023391723632812,9.191141599227807,8.320914268493652,4.752078217123786,7.311952590942383,4.751411140724308
semantic_cluster_02,10000,5000,5000,0.0234,113,121,0.995827759616077,0.8383923593958136,615.0118566584827,2.7888834885099154,5.546014785766602,9.421084893646723,6.709648609161377,2.627670716275764,5.701842308044434,2.6275535405018307
semantic_cluster_03,10000,5000,5000,0.0405,189,216,0.9961634869687259,1.4317406767264593,5232.365665256625,3.7186980871613815,7.262971878051758,9.11590685133872,7.890033721923828,4.878244418773632,6.880226135253906,4.874962412855305
semantic_cluster_04,10000,5000,5000,0.0413,203,210,0.9962684512138367,1.4994176299681916,6294.726170731107,3.798976842445935,7.535398483276367,8.820057747518318,9.775136947631836,5.46874981644012,8.76647663116455,5.467234699756841
semantic_cluster_05,10000,5000,5000,0.0246,128,118,0.9964040219783783,1.546296949434985,7120.608056334004,3.8525170813103125,9.982377052307129,8.54695039444134,8.508565902709961,4.882374111975074,7.500491142272949,4.881468501178819
semantic_cluster_06,10000,5000,5000,0.0237,132,105,0.9958237577229738,1.1603366493289178,2256.46465380205,3.3534285349406074,7.628131866455078,9.175301805451408,7.093706130981445,3.218850280200084,6.089746475219727,3.222661175743209
